,DRÜCK MICH!,,,,,,,,,,,,,,,,
Einwohnerzahl,Kommune,"Homepage 
Kommune",PLZ,Sublevel Wasserwerk / Stadtteile,"Sublevel
Straßennetz
(falls angegeben)","bei Dopplung 
Datenhalter jeweils
eintragen",Details,"Daten-Link
Wasserdaten",Natrium,Kalium,Calcium,Magnesium,Chlorid,Nitrat,Sulfat,"Härte
Wert","Härte
Bereich"
8.530,Rimbach,http://www.rimbach-odw.de/,64668,x,"Bezirk I: Rimbach, Albersbach, Münschbach, Zotzenbach (TIEFZONE). Die TIEFZONE Zotzenbach beinhaltet folgende Straßen: Bahnhofstraße, Stein- bühl, Siedlung, Wiesenweg, Ahornweg, Birkenweg, Eichenweg, Bachgasse, Rothenklinger Weg, Im Klingen, Hainbuchenweg, Hofäcker, Försterweg, Am Weißkopp, Am Thasberg, Hügelstraße, Weiherer Weg, Mühlstraße, Eichhorns- höhe bis 29 (34), Gartenstraße 17 (18), Philipp-Reis-Straße.",,,http://www.rimbach-odw.de/fileadmin/Dateien/Dateien/Trinkwasseruntersuchungsergebnisse2013.pdf,"7,2","0,8","54,7","10,5",14,16,18,"10,1",
,Rimbach,http://www.rimbach-odw.de/,64668,x,"Bezirk II: Unter-Mengelbach, Zotzenbach (HOCHZONE).
Die HOCHZONE Zotzenbach beinhaltet folgende Straßen: Am Bannelsberg, Am Förthacker, Am Schafberg, Trommweg, Mittelstraße, Erlenweg, Sportplatz- straße, Schulstraße, Eichhornshöhe ab 29 (34) bis 76, Hauptstraße ab 19 (26) bis 133, Gartenstraße ab 17 (18) bis 45.",,,http://www.rimbach-odw.de/fileadmin/Dateien/Dateien/Trinkwasseruntersuchungsergebnisse2013.pdf,9,"1,5","31,3","6,3",17,"8,6",19,"5,8",
,Rimbach,http://www.rimbach-odw.de/,64668,x,Bezirk III: Mitlechtern,,,http://www.rimbach-odw.de/fileadmin/Dateien/Dateien/Trinkwasseruntersuchungsergebnisse2013.pdf,"6,8","1,4","45,7",8,6,14,20,"8,2",
,Rimbach,http://www.rimbach-odw.de/,64668,x,Bezirk IV: Lauten-Weschnitz,,,http://www.rimbach-odw.de/fileadmin/Dateien/Dateien/Trinkwasseruntersuchungsergebnisse2013.pdf,7,"1,3","68,5","7,4",5,17,22,"11,3",
,Rimbach,http://www.rimbach-odw.de/,64668,x,Bezirk V: Gertelsklingen,,,http://www.rimbach-odw.de/fileadmin/Dateien/Dateien/Trinkwasseruntersuchungsergebnisse2013.pdf,"10,3","0,9","59,4","9,9",21,35,26,"10,6",
8.471,Ilvesheim,http://www.ilvesheim.de/,68549,MVV Energie AG: Rheinau + Käfertal,,"Käfertal, Rheinau",,https://www.mvv-energie.de/de/privatkunden/wasser/wasserqualitaet/wasserqualitaet_1.jsp,"K: 13,3
R: 33,1",,"K: 113
R: 105","K: 13,9
R: 20,6",,"K: 1,3
R: 20,8","K: 60,4
R: 84,3","K: 19
R: 19,4","hart
K: 3,4
R: 3,47"
8.427,"Kandel, Pfalz",http://www.kandel.de/,76870,Verbandsgemeindewerke Kandel,,Erlenbach bei Kandel,,http://www.vg-kandel.de/vg_kandel/Verwaltung/Verbandsgemeinde%20Werke/Wasseranalysen%202013.pdf,"7,6","2,3","97,4","18,7",10,"0,9",20,18,"3,2"
8.388,Bellheim,http://www.bellheim.de/,76756,"Wasserversorgung Germersheim
Südgruppe: Kuhardt",,,,http://www.wgs-jockgrim.de/wasser/wasser.htm,"9,3","1,9","82,8","13,7","6,6",1,"12,7","14,7",hart
8.245,Mühlhausen,http://www.muehlhausen-kraichgau.de/,69242,,,St Leon-Roth,,http://www.st-leon-rot.de/pb/site/st-leon-rot/get/1355742/Trinkwasseranalyse%20Stand%2005.02.2014.pdf,"10,6","1,3",121,"17,8",24,7,118,21,hart
7.959,Rauenberg,http://www.rauenberg.de/,69231,,,St. Leon-Roth,,http://www.st-leon-rot.de/pb/site/st-leon-rot/get/1355742/Trinkwasseranalyse%20Stand%2005.02.2014.pdf,"10,6","1,3",121,"17,8",24,7,118,21,hart
7.815,Rülzheim,http://www.ruelzheim.de/,76761,x,,,"""Wasserversorgung Germersheim
Südgruppe: Kuhardt, Jockgrim""",http://www.wgs-jockgrim.de/wasser/wasser.htm,"J: 7,8
K: 9,3","J: 1,6
K: 1,9","J: 74,7
K: 82,8","J: 10,9
K: 13,7","J: 9,7
K: 6,6","J: 1
K: 1","J: 5,6
K: 12,7","J: 12,9
K: 14,7",hart
